Covidence_num,OutcomeCategory,StandardizedRF,RFCategory,StdEffect
#260,AD,a1-antichymotrypsin signal peptide 215A/T polymorphism,Genomic,increase risk
#169,AD,Alpha-1-antichymotrypsin (ACT)-17(A>T) polymorphisms,Genomic,Increase risk
#366,AD,ABCA1 rs2066718 and rs1800977,Genomic,not significant
#366,AD,ABCA1 rs2422493,Genomic,Increase risk
#527,AD,ATP-binding cassette transporter A1 (ABCA1),Genomic,Not significant
#419,AD,AD-linc1,Genomic,Increase risk
#419,AD,AD-linc2,Genomic,Increase risk
#555,AD,amyloid beta,Biomarker,Increase risk
#868,AD,amyloid beta-40,Biomarker,increase risk
#868,AD,amyloid beta-42,Biomarker,increase risk
#641,AD,Amyloid-beta removal,Medication,Not significant
#229,AD,apoe,Genomic,decrease risk
#402,dementia,apoe,Genomic,Increase risk
#495,vascular dementia,ApoE,Genomic,increase risk
#495,vascular dementia,ApoE,Genomic,increase risk
#952,dementia,apoe,Genomic,Increase risk
#180,AD,APOE e2,Genomic,not significant
#375,AD,APOE e2,Genomic,Not significant
#567,AD,APOE e2,Genomic,Decrease risk
#180,AD,ApoE e2/3,Genomic,not significant
#180,AD,ApoE e2/4,Genomic,increase risk
#180,AD,ApoE e2/4,Genomic,decrease risk
#180,AD,APOE e3,Genomic,decrease risk
#375,AD,APOE e3,Genomic,Decrease risk
#180,AD,ApoE e3/4,Genomic,increase risk
#180,AD,ApoE e3/4,Genomic,decrease risk
#106,AD,APOE e4,Genomic,Increase risk
#180,AD,APOE e4,Genomic,increase risk
#375,AD,APOE e4,Genomic,Increase risk
#513,Dementia,APOE e4,Genomic,Increase risk
#716,AD,APOE e4,Genomic,Increase risk
#857,AD,APOE e4,Genomic,increase risk
#980,AD,APOE e4,Genomic,Increase risk
#180,AD,ApoE e4/4,Genomic,increase risk
#938,dementia,modifiable risk factors associated with APOE e4,Genomic,Not significant
#273,AD,rs12989701 BIN1,Genomic,Increase risk
#273,AD,rs744373 BIN1,Genomic,Increase risk
#424,AD,rs744373 BIN1,Genomic,Increase risk
#308,AD,ESR1 PvuII polymorphism,Genomic,decrease risk
#308,AD,ESR1 XbaI polymorphism,Genomic,not significant
#266,AD,IL-10 gene polymorphism,Genomic,increase risk
#266,AD,IL-10 gene polymorphism,Genomic,increase risk
#273,AD,IL-1A rs1800587,Genomic,Increase risk
#273,AD,IL-1B rs1143634,Genomic,Increase risk
#317,AD,IL-6-174G/C polymorphism,Genomic,Increase risk
#354,AD,il-6-174g/c polymorphism,Genomic,Not significant
#756,AD,interleukin-8 gene polymorphism,Genomic,increase risk
#419,AD,LncRNA 17A,Genomic,Increase risk
#419,AD,long non-coding RNA,Genomic,Increase risk
#419,AD,long non-coding RNAs(BC200),Genomic,Increase risk
#419,AD,long non-coding RNAs(EBF3-AS),Genomic,Increase risk
#403,AD,vegf-1154g/a,Genomic,Not significant
#403,AD,vegf-2578c/a,Genomic,Not significant
#207,AD,ACE gene I/D polymorphism,Genomic,Increase risk
#1132,dementia,acetylcholinesterase inhibitors,Medication,Decrease risk
#588,AD,acetylcholinesterase inhibitors,Medication,Not significant
