Source,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence_num,Study
Pubmed,Magnesium Status in Alzheimer's Disease: A Systematic Review.,Veronese N; Zurlo A; Solmi M; Luchini C; Trevisan C; Bano G; Manzato E; Sergi G; Rylander R,"The interest in poor magnesium (Mg) status as risk factor for Alzheimer's disease (AD) is increasing due to its antioxidant and neuroprotective properties. A systematic PubMed literature search of studies investigating Mg status was undertaken comparing AD to healthy controls (HCs) or patients with medical illness (medical controls [MCs]). Standardized mean differences (SMDs) Â± 95% confidence intervals (CIs) were calculated for all outcomes. Of 192 potentially eligible studies, 13 were included (559 patients with AD, 381 HCs, and 126 MCs). Compared to HCs, patients with AD had significantly lower Mg in cerebrospinal fluid (2 studies; SMD = -0.35;P= .02) and in hair (2 studies; SMD = -0.75;P= .0001). No differences between AD and controls were evident for serum Mg. In conclusion, AD seems to be associated with a lower Mg status when compared to HCs, while the scarcity of studies limited the findings about MCs.",2016,May,Am J Alzheimers Dis Other Demen,31,3,208-13,,10.1177/1533317515602674,26351088,#298,Veronese 2016
Pubmed,Alzheimer's Disease is an Important Risk Factor of Fractures: a Meta-analysis of Cohort Studies.,Liang Y; Wang L,"The risk of fracture in individuals with Alzheimer's disease had not been fully quantified. A systematic review and meta-analysis of cohort studies was performed to estimate the impact of Alzheimer's disease on risk of fractures. Pubmed and Embase were searched for eligible cohort studies assessing the association between Alzheimer's disease and risk of fractures. The overall relative risks (RRs) with 95% CIs were calculated using a random-effects model to evaluate the association. Six cohort studies with a total of 137,986 participants were included into the meta-analysis. Meta-analysis of a total of six studies showed that Alzheimer's disease was significantly associated with two-fold increased risk of fractures (RRâ€‰=â€‰2.18, 95Â % CI 1.64-2.90, Pâ€‰<â€‰0.001; I (2)â€‰=â€‰91.4Â %). Meta-regression analysis showed that type of fractures was a source of heterogeneity (Pâ€‰=â€‰0.003). Meta-analysis of five studies on hip fracture showed that Alzheimer's disease was significantly associated with 2.5-fold increased risk of hip fracture (RRâ€‰=â€‰2.52, 95Â % CI 2.26-2.81, Pâ€‰<â€‰0.001; I (2)â€‰=â€‰25.2Â %). There was no risk of publication bias observed in the funnel plot. There is strong evidence that Alzheimer's disease is a risk factor of hip fracture.",2017,Jul,Mol Neurobiol,54,5,3230-3235,,10.1007/s12035-016-9841-2,27072352,#296,Liang 2017
Pubmed,Midlife vascular risk factors and the risk of Alzheimer's disease: a systematic review and meta-analysis.,Meng XF; Yu JT; Wang HF; Tan MS; Wang C; Tan CC; Tan L,"BACKGROUND/OBJECTIVE: We examine whether midlife vascular risk factors (VRFs) are associated with increased risk of incident Alzheimer's disease (AD) in a systematic review and meta-analysis of published cohort studies. METHODS: Original cohort studies were included if they reported adjusted combined odds ratio (COR) and corresponding 95% confidence intervals (CIs) or enough information to quantify the association between risk for AD in late-life and baseline VRFs of midlife. RESULTS: There were positive and significant associations between high blood pressure (COR 1.31; 95% CI: 1.01-1.70), hypercholesterolemia (COR 1.72; 95% CI: 1.32-2.24), obesity (COR 1.88; 95% CI: 1.32-2.69), and diabetes mellitus in midlife (COR 1.4; 95% CI: 1.25-1.57). Smoking and hyperhomocysteinemia (although only one high-quality paper) were also associated with an increased risk of AD generally. CONCLUSIONS: These results strengthen the epidemiological evidence that VRFs of midlife significantly increase risk for AD.",2014,,J Alzheimers Dis,42,4,1295-310,,10.3233/JAD-140954,25024338,#295,Meng 2014
Pubmed,"Associations between Homocysteine, Folic Acid, Vitamin B12 and Alzheimer's Disease: Insights from Meta-Analyses.",Shen L; Ji HF,"The associations between homocysteine (Hcy), folic acid, and vitamin B12 and Alzheimer's disease (AD) have gained much interest, while remaining controversial. We aim to perform meta-analyses to evaluate comprehensively: i) Hcy, folic acid, and vitamin B12 levels in AD patients in comparison with controls; and ii) the association between Hcy, folic acid, and vitamin B12 levels and risk of AD. A literature search was performed using Medline and Scopus databases. A total of 68 studies were identified and included in the meta-analyses. Stata 12.0 statistical software was used to perform the meta-analyses. First, AD patients may have higher level of Hcy, and lower levels of folate and vitamin B12 in plasma than controls. Further age-subgroup analysis showed no age effect for Hcy levels in plasma between AD patients and matched controls, while the differences in folate and vitamin B12 levels further enlarged with increased age. Second, data suggests that high Hcy and low folate levels may correlate with increased risk of AD occurrence. The comprehensive meta-analyses not only confirmed higher Hcy, lower folic acid, and vitamin B12 levels in AD patients than controls, but also implicated that high Hcy and low folic acid levels may be risk factors of AD. Further studies are encouraged to elucidate mechanisms linking these conditions.",2015,,J Alzheimers Dis,46,3,777-90,,10.3233/JAD-150140,25854931,#294,Shen 2015
Pubmed,Postmenopausal hormone therapy is not associated with risk of all-cause dementia and Alzheimer's disease.,O'Brien J; Jackson JW; Grodstein F; Blacker D; Weuve J,"The relationship of postmenopausal hormone therapy with all-cause dementia and Alzheimer's disease dementia has been controversial. Given continued interest in the role of hormone therapy in chronic disease prevention and the emergence of more prospective studies, we conducted a systematic review to identify all epidemiologic studies meeting prespecified criteria reporting on postmenopausal hormone therapy use and risk of Alzheimer's disease or dementia. A systematic search of Medline and Embase through December 31, 2012, returned 15 articles meeting our criteria. Our meta-analysis of any versus never use did not support the hypothesis that hormone therapy reduces risk of Alzheimer's disease (summary estimate = 0.88, 95% confidence interval: 0.66, 1.16). Exclusion of trial findings did not change this estimate. There were not enough all-cause dementia results for a separate meta-analysis, but when we combined all-cause dementia results (n = 3) with Alzheimer's disease results (n = 7), the summary estimate remained null (summary estimate = 0.94, 95% confidence interval: 0.71, 1.26). The limited explorations of timing of use-both duration and early initiation-did not yield consistent findings. Our findings support current recommendations that hormone therapy should not be used for dementia prevention. We discuss trends in hormone therapy research that could explain our novel findings and highlight areas where additional data are needed.",2014,,Epidemiol Rev,36,1,83-103,,10.1093/epirev/mxt008,24042430,#293,O'Brien 2014
Pubmed,Pesticide exposure and risk of Alzheimer's disease: a systematic review and meta-analysis.,Yan D; Zhang Y; Liu L; Yan H,"Evidence suggests that lifelong cumulative exposure to pesticides may generate lasting toxic effects on the central nervous system and contribute to the development of Alzheimer's disease (AD). A number of reports indicate a potential association between long-term/low-dose pesticide exposure and AD, but the results are inconsistent. Therefore, we conducted a meta-analysis to clarify this association. Relevant studies were identified according to inclusion criteria. Summary odds ratios (ORs) were calculated using fixed-effects models. A total of seven studies were included in our meta-analysis. A positive association was observed between pesticide exposure and AD (ORâ€‰=â€‰1.34; 95% confidence interval [CI]â€‰=â€‰1.08, 1.67; nâ€‰=â€‰7). The summary ORs with 95% CIs from the crude and adjusted effect size studies were 1.14 (95% CIâ€‰=â€‰0.94, 1.38; nâ€‰=â€‰7) and 1.37 (95% CIâ€‰=â€‰1.09, 1.71; nâ€‰=â€‰5), respectively. The sensitivity analyses of the present meta-analysis did not substantially modify the association between pesticide exposure and AD. Subgroup analyses revealed that high-quality studies tended to show significant relationships. The present meta-analysis suggested a positive association between pesticide exposure and AD, confirming the hypothesis that pesticide exposure is a risk factor for AD. Further high-quality cohort and case-control studies are required to validate a causal relationship.",2016,Sep,Sci Rep,6,,32222,,10.1038/srep32222,27581992,#292,Yan 2016
Pubmed,Saitohin Q7R polymorphism is associated with late-onset Alzheimer's disease susceptibility among caucasian populations: a meta-analysis.,Huang R; Tian S; Cai R; Sun J; Xia W; Dong X; Shen Y; Wang S,"Saitohin (STH) Q7R polymorphism has been reported to influence the individual's susceptibility to Alzheimer's disease (AD); however, conclusions remain controversial. Therefore, we performed this meta-analysis to explore the association between STH Q7R polymorphism and AD risk. Systematic literature searches were performed in the PubMed, Embase, Cochrane Library and Web of Science for studies published before 31 August 2016. Pooled odds ratios (ORs) and 95% confidence intervals (CIs) were calculated to assess the strength of the association using a fixed- or random-effects model. Subgroup analyses, Galbraith plot and sensitivity analyses were also performed. All statistical analyses were performed with STATA Version 12.0. A total of 19 case-control studies from 17 publications with 4387 cases and 3972 controls were included in our meta-analysis. The results showed that the Q7R polymorphism was significantly associated with an increased risk of AD in a recessive model (RR versus QQ+QR, ORÂ =Â 1.27, 95% CIÂ =Â 1.01-1.60, PÂ =Â 0.040). After excluding the four studies not carried out in caucasians, the overall association was unchanged in all comparison models. Further subgroup analyses stratified by the time of AD onset, and the quality of included studies provided statistical evidence of significant increased risk of AD in RR versus QQ+QR model only in late-onset subjects (ORÂ =Â 1.56, 95% CIÂ =Â 1.07-2.26, PÂ =Â 0.021) and in studies with high quality (ORÂ =Â 1.37, 95% CIÂ =Â 1.01-1.86, PÂ =Â 0.043). This meta-analysis suggests that the RR genotype in saitohin Q7R polymorphism may be a human-specific risk factor for AD, especially among late-onset AD subjects and caucasian populations.",2017,Aug,J Cell Mol Med,21,8,1448-1456,,10.1111/jcmm.13079,28211174,#289,Huang 2017
Pubmed,Effect of Vascular Risk Factors and Diseases on Mortality in Individuals with Dementia: A Systematic Review and Meta-Analysis.,van de Vorst IE; Koek HL; de Vries R; Bots ML; Reitsma JB; Vaartjes I,"OBJECTIVES: To assess the effect of cardiovascular diseases and risk factors on mortality in individuals with dementia. DESIGN: Systematic review and meta-analysis. English- and Dutch-language studies in PubMed, EMBASE, and PsycINFO databases were searched in April 2014 with hand-searching of in-text citations and no publication limitations. Inclusion criteria were original studies reporting on cardiovascular risk factors or diseases and their relationship with survival in individuals with dementia. The Quality In Prognosis Studies tool was used to appraise all included articles. SETTING: Population-, hospital-, and nursing home-based. PARTICIPANTS: Community-dwelling, hospitalized individuals and nursing home residents with dementia. MEASUREMENTS: A random-effects meta-analysis was performed to investigate the effect of several cardiovascular diseases and risk factors on overall mortality. RESULTS: Twelve studies with 235,865 participants were included. In pooled analyses, male sex (hazard ratio (HR)=1.67, 95% confidence interval (CI)=1.56-1.78), diabetes mellitus (DM) (HR=1.49, 95% CI=1.33-1.68), smoking (ever vs never) (HR=1.37, 95% CI=1.17-1.61), coronary heart disease (CHD) (HR=1.21, 95% CI=1.02-1.44) and congestive heart failure (CHF) (HR=1.37, 95% CI=1.18-1.59) were associated with mortality. Stroke, high blood pressure, being overweight, and hypercholesterolemia were not statistically significantly related to mortality. CONCLUSION: Individuals with dementia and DM, smoking, CHD, and CHF have a greater risk of death than individuals with dementia without these risk factors or diseases.",2016,Jan,J Am Geriatr Soc,64,1,37-46,,10.1111/jgs.13835,26782850,#288,vandeVorst 2016
Pubmed,Cardiovascular disease risk models and longitudinal changes in cognition: a systematic review.,Harrison SL; Ding J; Tang EY; Siervo M; Robinson L; Jagger C; Stephan BC,"BACKGROUND: Cardiovascular disease and its risk factors have consistently been associated with poor cognitive function and incident dementia. Whether cardiovascular disease prediction models, developed to predict an individual's risk of future cardiovascular disease or stroke, are also informative for predicting risk of cognitive decline and dementia is not known. OBJECTIVE: The objective of this systematic review was to compare cohort studies examining the association between cardiovascular disease risk models and longitudinal changes in cognitive function or risk of incident cognitive impairment or dementia. MATERIALS AND METHODS: Medline, PsychINFO, and Embase were searched from inception to March 28, 2014. From 3,413 records initially screened, 21 were included. RESULTS: The association between numerous different cardiovascular disease risk models and cognitive outcomes has been tested, including Framingham and non-Framingham risk models. Five studies examined dementia as an outcome; fourteen studies examined cognitive decline or incident cognitive impairment as an outcome; and two studies examined both dementia and cognitive changes as outcomes. In all studies, higher cardiovascular disease risk scores were associated with cognitive changes or risk of dementia. Only four studies reported model prognostic performance indices, such as Area Under the Curve (AUC), for predicting incident dementia or cognitive impairment and these studies all examined non-Framingham Risk models (AUC range: 0.74 to 0.78). CONCLUSIONS: Cardiovascular risk prediction models are associated with cognitive changes over time and risk of dementia. Such models are easily obtainable in clinical and research settings and may be useful for identifying individuals at high risk of future cognitive decline and dementia.",2014,,PLoS One,9,12,e114431,,10.1371/journal.pone.0114431,25478916,#287,Harrison 2014
Pubmed,"A Systematic Review of Longitudinal Associations Between Reaction Time Intraindividual Variability and Age-Related Cognitive Decline or Impairment, Dementia, and Mortality.",Haynes BI; Bauermeister S; Bunce D,"OBJECTIVES: Intraindividual variability (IIV) in reaction time refers to the trial-to-trial fluctuations in responding across a given cognitive task. Cross-sectional research suggests that IIV increases with normal and neuropathological ageing and it may serve as a marker of neurobiological integrity. This raises the possibility that IIV may also predict future cognitive decline and, indeed, neuropathology. Therefore, we conducted a systematic review to address these issues. METHODS: A search of electronic databases Embase, Medline, PsycINFO, and Web of Science was completed on May 17, 2016 that identified longitudinal investigations of IIV in middle-aged or older adults. RESULTS: A total of 688 studies were initially identified of which 22 met the inclusion criteria. Nine included longitudinal IIV measures and 17 predicted subsequent outcome (cognitive decline or impairment, dementia, mortality) from baseline IIV. The results suggested IIV increased over time, particularly in participants aged over 75 years. Greater baseline IIV was consistently associated with increased risk of adverse outcomes including cognitive decline or impairment, and mortality. CONCLUSIONS: Increased IIV over time is associated with normal ageing. However, further increases in IIV over and above those found in normal ageing may be a risk factor for future cognitive impairment or mortality. Measures of IIV may, therefore, have considerable potential as a supplement to existing clinical assessment to aid identification of individuals at risk of adverse outcomes such as dementia or death. (JINS, 2017, 23, 431-445).",2017,May,J Int Neuropsychol Soc,23,5,431-445,,10.1017/S1355617717000236,28462758,#286,Haynes 2017
